step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
231,0.0,0.0,,
232,0.1297,0.95876,,
233,0.50876,0.76,,
234,0.17299,0.90476,,
235,0.16255,0.8,,
236,0.59724,0.74286,,
237,0.09842,0.96396,,
238,0.03909,0.98755,,
239,0.1485,0.93443,,
240,0.04231,0.98182,,
241,0.01671,0.99507,,
242,0.0,0.0,,
243,0.19377,0.85714,,
244,0.00353,1.0,,
245,0.02199,0.99089,,
246,0.06892,0.97572,,
247,0.28185,0.85714,,
248,0.03855,0.99507,,
249,0.0,0.0,,
250,0.0862,0.96552,,
251,0.21098,0.85714,,
252,0.03199,1.0,,
253,0.02346,0.99313,,
254,0.02179,0.99015,,
255,0.20602,0.90476,,
256,0.33256,0.90476,,
257,0.0557,0.9803,,
258,0.14139,0.97343,,
259,0.05164,0.96386,,
260,0.01218,1.0,,
261,0.22715,0.90909,,
262,0.09629,0.9697,,
263,0.56389,0.82051,,
264,0.01631,0.99454,,
265,0.03118,0.98182,,
266,0.00092,1.0,,
267,0.05754,0.98522,,
268,0.03757,0.98974,,
269,0.1372,0.90476,,
270,0.0,0.0,,
271,0.10402,0.96909,,
272,0.09568,0.96907,,
273,0.0621,0.98851,,
274,0.03156,0.97959,,
275,0.0,0.0,,
276,0.14798,0.93333,,
277,0.0,0.0,,
278,0.00395,1.0,,
279,0.02607,0.98827,,
280,0.02259,0.9974,,
281,0.03547,0.9873,,
282,0.0,0.0,,
283,0.05179,0.98113,,
284,0.28626,0.85185,,
285,0.10789,0.95,,
286,0.00702,1.0,,
287,0.12188,0.95238,,
288,0.66417,0.74286,,
289,0.16434,0.95223,,
290,0.01076,0.99379,,
291,0.25381,0.90798,,
292,2e-05,1.0,,
293,0.07678,0.97476,,
294,0.28798,0.92079,,
295,0.08198,0.9769,,
296,0.02024,0.99377,,
297,0.02818,1.0,,
298,0.1182,0.9697,,
299,0.0,0.0,,
300,0.00482,1.0,,
301,0.03358,0.98667,0.07607,0.96552
302,0.0,0.0,,
303,0.04301,0.98447,,
304,0.09055,0.9803,,
305,0.10957,0.9434,,
306,0.09091,0.97722,,
307,0.07674,0.975,,
308,0.03971,0.98896,,
309,0.05248,0.9803,,
310,0.57438,0.72727,,
311,0.10652,0.9622,,
